epoch,train_loss,val_loss,val_macro_f1
1,1.056759277979533,1.0590274930000305,0.4138708473310937
2,0.9325620333353678,1.0677285194396973,0.48827622139980065
3,0.8589012026786804,1.0289437174797058,0.43885398173280793
4,0.7825086447927687,1.007370263338089,0.4457601822395036
5,0.7129735085699294,1.084782749414444,0.3777620334713408
6,0.6392836173375448,1.0787785947322845,0.43421674413772743
7,0.5773233671983083,1.1744218468666077,0.45251700306146764
8,0.5226374334759183,1.2452154159545898,0.38226190476190486
9,0.47141838404867387,1.3677722811698914,0.3550059034135467
10,0.453075369199117,1.511398434638977,0.4331807248398116
