model,out_dir,accuracy,macro_f1,bullish_f1,bearish_f1,range_f1,total_return_proxy,positive_active_ratio,active_signal_ratio
transformer,models\curve_2020_AAA5Y_h5\01_full_features\transformer,0.4430379746835443,0.34854256854256854,0.30666666666666664,0.18181818181818182,0.5571428571428572,0.09506250000000006,0.6762589928057554,0.5864978902953587
gru,models\curve_2020_AAA5Y_h5\01_full_features\gru,0.70042194092827,0.3329611908559277,0.15151515151515152,0.0,0.8473684210526315,-0.028206,0.46153846153846156,0.16455696202531644
tcn,models\curve_2020_AAA5Y_h5\01_full_features\tcn,0.22784810126582278,0.20871603812290754,0.14953271028037382,0.18840579710144928,0.28820960698689957,0.022886999999999925,0.5578947368421052,0.8016877637130801
