model,out_dir,accuracy,macro_f1,bullish_f1,bearish_f1,range_f1,total_return_proxy,positive_active_ratio,active_signal_ratio
transformer,models\curve_2020_AAAp20Y_h5\01_full_features\transformer,0.22362869198312235,0.2594626057466494,0.25870646766169153,0.4742268041237113,0.045454545454545456,0.2106359999999997,0.5965665236051502,0.9831223628691983
tcn,models\curve_2020_AAAp20Y_h5\01_full_features\tcn,0.22362869198312235,0.22621913369971688,0.2764227642276423,0.4022346368715084,0.0,0.33687599999999984,0.6286919831223629,1.0
gru,models\curve_2020_AAAp20Y_h5\01_full_features\gru,0.11392405063291139,0.07142857142857142,0.21428571428571427,0.0,0.0,-0.16323599999999971,0.4388185654008439,1.0
