epoch,train_loss,val_loss,val_macro_f1
1,1.0793222586313884,1.0279930233955383,0.3857958573238393
2,0.9327132105827332,1.0430908203125,0.4613568069091041
3,0.8735987212922838,1.0560235381126404,0.4049008462801566
4,0.8273589809735616,1.0447747111320496,0.4060033500837521
5,0.7777696384323968,1.0585972964763641,0.38027070814599
6,0.6985820068253411,1.0597721338272095,0.41226053018508907
7,0.6475865840911865,1.0424359142780304,0.43994560399071175
8,0.6016192303763496,1.2030539512634277,0.348025485296036
9,0.5806378523508707,1.1163126230239868,0.4103798711011586
10,0.5072721905178494,1.2603192329406738,0.29212161355091343
