model,out_dir,accuracy,macro_f1,bullish_f1,bearish_f1,range_f1,total_return_proxy,positive_active_ratio,active_signal_ratio
gru,models\curve_2020_AAA3Y_h5\01_full_features\gru,0.7426160337552743,0.3257359924026591,0.05128205128205128,0.06666666666666667,0.8592592592592593,0.0014083999999999928,0.5789473684210527,0.16033755274261605
tcn,models\curve_2020_AAA3Y_h5\01_full_features\tcn,0.6329113924050633,0.3020205600850762,0.0,0.13186813186813187,0.7741935483870968,0.00028000000000000626,0.4647887323943662,0.29957805907172996
transformer,models\curve_2020_AAA3Y_h5\01_full_features\transformer,0.11392405063291139,0.10688345168945919,0.07142857142857142,0.11347517730496454,0.13574660633484162,0.003508399999999986,0.545045045045045,0.9367088607594937
