model,out_dir,accuracy,macro_f1,bullish_f1,bearish_f1,range_f1,total_return_proxy,positive_active_ratio,active_signal_ratio
gru,models\curve_2020_AAA10Y_h5\01_full_features\gru,0.4430379746835443,0.3221453993815275,0.40609137055837563,0.0,0.5603448275862069,0.02821500000000001,0.5460526315789473,0.6413502109704642
transformer,models\curve_2020_AAA10Y_h5\01_full_features\transformer,0.24050632911392406,0.23780313889140883,0.344,0.3561643835616438,0.013245033112582781,0.10256999999999998,0.5278969957081545,0.9831223628691983
tcn,models\curve_2020_AAA10Y_h5\01_full_features\tcn,0.22784810126582278,0.21573973100690658,0.35714285714285715,0.2900763358778626,0.0,0.09796499999999984,0.540084388185654,1.0
