epoch,train_loss,val_loss,val_macro_f1
1,1.0817075437969632,1.0479821562767029,0.4259646827992152
2,0.9269486467043558,1.042626976966858,0.31874240307616525
3,0.8559500773747762,1.0024038255214691,0.5033178446237874
4,0.787320077419281,1.0143459141254425,0.47002193140950616
5,0.710400833023919,1.0493540465831757,0.4659833098746226
6,0.654207362069024,1.0501486659049988,0.3501167059061796
7,0.5710814065403409,1.2402268648147583,0.28043654620318076
8,0.5129550827874078,1.2603044509887695,0.39732508804673755
9,0.457606573899587,1.420742928981781,0.2275419439598544
10,0.39875154693921405,1.61871737241745,0.26208561024148397
11,0.3991147412194146,1.6877416968345642,0.34862819299905395
