epoch,train_loss,val_loss,val_macro_f1
1,1.0838485691282485,0.9601527154445648,0.32666666666666666
2,0.9254159331321716,0.9761009812355042,0.31813689152458613
3,0.8233581980069479,0.9315794110298157,0.3415873015873016
4,0.7819072670406766,1.0081882178783417,0.2650856389986825
5,0.7085064980718825,1.012248933315277,0.2865075445816187
6,0.6456716855367025,1.033322513103485,0.3000021421074053
7,0.5836975971857706,1.274156093597412,0.1866857444084645
8,0.5471888780593872,1.4519444108009338,0.16569477278697137
9,0.49263956811692977,1.478178858757019,0.1712704283728129
10,0.4333144591914283,1.809744656085968,0.12902621222048394
11,0.39779430627822876,2.195952892303467,0.1349794326468068
